class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16
0,qid:35,1,1,2,4,0,2,0,2,0,1,3,16,9,1,2.7,5
1,qid:36,0,0,1,2,1,2,0,0,0,0,6,12,5,2,2.4,3
0,qid:36,1,2,0,0,1,3,0,0,0,0,6,14,5,3,2.2,3
0,qid:37,2,3,1,1,1,0,0,0,0,1,10,20,9,3,1.9,4
1,qid:37,0,0,2,4,1,1,0,0,0,2,8,18,7,1,2,3
0,qid:38,1,1,2,2,1,0,0,1,0,0,3,11,3,1,2,3
1,qid:38,1,0,3,2,1,5,0,0,0,3,7,22,9,3,1.8,2
1,qid:39,0,0,1,5,0,2,0,0,0,2,5,15,6,1,2.2,3
0,qid:39,2,0,1,4,2,4,0,1,0,1,6,21,8,2,1.9,2
1,qid:40,1,0,3,3,1,1,0,1,1,0,6,19,7,2,2.1,2
0,qid:40,0,1,0,2,2,5,0,1,1,2,5,19,6,2,2.7,4
1,qid:41,1,0,1,1,1,2,0,0,0,0,4,10,5,1,2,2
0,qid:41,0,2,2,1,3,2,0,0,1,1,7,19,9,1,2.2,3
1,qid:42,2,1,2,1,3,3,0,0,0,1,8,22,8,2,2.5,4
0,qid:42,1,1,2,2,3,1,0,0,0,3,9,23,10,4,2.3,3
1,qid:43,0,2,1,0,3,3,0,0,0,2,7,18,9,3,1.9,3
0,qid:43,3,2,2,1,1,0,0,1,0,3,6,22,11,2,2.5,5
1,qid:44,0,1,0,0,2,4,0,1,0,2,4,14,6,3,2,3
0,qid:44,1,2,3,2,1,0,0,1,0,0,6,19,8,1,2.6,4
0,qid:45,3,1,2,2,1,3,0,1,0,1,7,21,9,2,1.7,3
1,qid:45,2,0,2,0,1,5,0,0,1,1,8,22,11,2,2.4,3
1,qid:46,2,1,1,1,1,5,0,0,0,1,7,19,8,3,2.3,3
0,qid:46,1,1,1,1,1,1,0,1,1,0,3,11,4,0,2.5,4
0,qid:47,1,1,0,1,1,4,0,0,0,3,7,19,8,3,2.9,5
1,qid:47,1,1,0,1,3,0,0,0,0,0,7,14,6,2,1.7,3
0,qid:48,0,0,2,3,2,4,0,0,0,1,7,19,9,3,2.4,3
1,qid:48,0,0,1,0,4,5,0,0,0,0,7,17,7,1,2.6,5
1,qid:49,0,0,1,1,3,3,0,2,0,1,8,20,6,2,1.3,2
0,qid:49,0,2,2,0,0,2,1,1,1,0,3,13,5,0,1.8,2
1,qid:50,2,0,1,2,0,3,0,1,0,0,6,16,7,2,2.1,3
0,qid:50,1,3,4,3,0,1,1,1,0,1,6,21,7,2,1.3,2
0,qid:51,0,0,0,1,1,6,0,0,0,0,5,13,6,2,2.2,3
1,qid:51,1,0,0,0,2,3,0,0,0,0,4,10,4,3,1.3,2
1,qid:52,2,0,3,1,0,1,0,0,0,0,5,12,4,1,1.8,3
0,qid:52,0,0,0,0,1,5,0,1,1,0,4,12,5,1,1.4,2
0,qid:53,1,1,1,1,0,6,0,0,0,1,10,21,7,2,2,3
1,qid:53,2,1,2,1,1,3,0,0,0,0,8,18,8,3,2,3
1,qid:54,0,0,1,2,2,3,0,1,0,0,3,12,5,0,1,1
0,qid:54,1,1,4,2,2,2,0,1,0,1,6,20,12,4,1.9,2
1,qid:55,0,1,2,5,2,4,0,0,0,2,6,23,11,1,1.6,3
0,qid:55,0,1,0,4,1,5,0,1,0,0,6,20,10,3,1.9,3
1,qid:56,1,0,1,0,3,0,0,0,0,1,4,10,4,2,1.3,2
0,qid:56,0,0,1,2,1,0,0,0,0,2,6,14,5,2,1.6,3
1,qid:57,0,1,1,2,0,1,0,0,0,0,5,10,4,0,2,3
0,qid:57,1,0,4,2,1,2,0,0,0,4,8,23,9,3,1.6,3
0,qid:58,0,1,2,4,3,3,0,0,0,1,9,23,9,3,1.7,2
1,qid:58,2,2,2,3,1,1,0,0,1,0,5,17,7,2,1.9,2
1,qid:59,1,0,2,1,0,1,0,0,0,0,5,11,4,2,1.3,2
0,qid:59,1,1,1,1,1,1,0,0,0,1,5,12,5,1,2,3
1,qid:60,4,1,4,0,3,3,0,0,0,2,6,23,9,3,1.6,2
0,qid:60,0,1,0,1,1,3,0,1,1,0,2,10,5,1,2,3
1,qid:61,0,2,1,1,2,5,0,1,1,0,7,20,9,4,1.3,2
0,qid:61,2,2,0,3,0,2,1,0,0,4,7,23,10,2,1.9,3
1,qid:62,1,1,0,4,1,0,0,0,0,1,6,14,4,1,2,3
0,qid:62,5,0,0,4,0,0,0,1,1,2,5,19,10,3,1.8,3
1,qid:63,1,0,0,1,3,6,0,0,1,1,12,25,8,4,2.4,4
0,qid:63,0,2,1,4,2,2,0,1,0,1,9,22,10,2,1.6,2
1,qid:64,1,0,2,2,0,1,0,0,1,1,6,14,7,3,1.6,2
0,qid:64,0,3,1,5,1,1,0,0,1,1,6,19,10,2,1.7,2
1,qid:65,1,2,1,2,1,3,0,0,1,1,7,19,8,1,2.9,4
0,qid:65,2,0,0,4,1,1,0,1,1,0,5,15,5,2,1.4,2
0,qid:66,0,0,0,1,1,2,1,0,0,1,2,8,4,1,1.3,2
1,qid:66,3,0,0,0,0,6,0,0,0,2,5,16,7,3,1.9,2
1,qid:67,1,3,2,2,1,0,0,0,0,0,9,20,7,2,1.3,2
0,qid:67,1,3,0,0,3,4,0,0,0,3,8,22,12,2,2.2,3
0,qid:68,0,1,0,2,4,2,0,1,1,2,3,17,6,3,1.8,3
1,qid:68,1,0,0,2,0,2,0,0,0,1,4,10,4,2,1.5,2
1,qid:69,0,1,0,0,3,3,0,0,0,0,5,12,4,1,2,3
0,qid:69,0,0,1,2,3,2,0,0,0,0,7,16,8,2,1.3,2
0,qid:70,2,0,1,2,2,5,0,2,0,0,8,22,12,4,1.9,2
1,qid:70,3,1,1,6,2,1,0,0,0,0,10,24,9,3,1.2,2
0,qid:71,2,0,1,4,0,1,0,1,0,1,6,18,7,2,1.6,2
1,qid:71,3,2,1,2,0,1,0,0,1,0,6,18,9,2,3.2,4
0,qid:72,6,0,0,1,1,0,0,1,0,0,9,19,7,1,2,3
1,qid:72,0,1,0,3,1,3,0,0,0,1,7,16,7,2,1.1,2
1,qid:73,1,0,1,1,2,6,0,0,0,2,8,21,9,3,2.4,4
0,qid:73,1,0,3,0,2,4,0,0,0,2,9,23,9,3,2,3
1,qid:74,2,2,0,0,1,1,0,0,1,1,4,12,5,0,1.8,3
0,qid:74,0,1,0,1,2,9,1,0,1,0,7,22,12,4,1.4,2
1,qid:75,0,0,0,0,1,6,0,0,0,3,3,13,6,2,1.8,3
0,qid:75,3,1,0,1,0,3,0,0,0,4,5,18,6,3,1.2,2
0,qid:76,0,0,0,1,0,5,0,0,1,0,4,11,5,1,2,3
1,qid:76,0,0,0,1,1,2,0,0,0,0,5,9,2,0,1,1
0,qid:77,1,1,1,3,0,5,1,0,0,2,9,23,13,3,2.7,4
1,qid:77,0,2,2,2,0,5,0,0,0,3,8,22,8,3,1.5,2
0,qid:78,0,0,0,1,1,1,0,0,0,2,4,9,2,2,1,1
1,qid:78,1,1,0,1,3,0,0,0,0,0,4,10,4,0,1.8,3
1,qid:79,2,1,0,1,2,1,0,0,0,1,4,13,4,3,2.3,3
0,qid:79,2,4,3,2,1,1,0,0,0,0,9,23,9,4,1.3,2
0,qid:80,0,1,1,2,4,3,0,1,0,1,6,19,8,5,1.8,3
1,qid:80,0,0,1,3,1,1,0,1,0,0,4,11,6,1,1.7,2
1,qid:81,1,1,1,2,2,3,0,0,0,1,6,17,8,2,1.9,3
0,qid:81,2,3,1,4,2,1,0,0,0,1,9,23,9,2,2.1,4
1,qid:82,0,0,1,0,4,5,0,0,0,0,10,20,8,3,2.5,4
0,qid:82,1,0,1,1,3,3,0,0,1,0,6,16,6,3,2.2,3
0,qid:83,1,1,1,0,2,5,0,0,0,0,9,20,7,0,1.6,3
1,qid:83,1,2,2,2,1,2,0,0,0,0,8,18,6,0,1.8,3
1,qid:84,0,0,0,0,2,8,0,1,0,6,4,21,12,3,1.4,2
0,qid:84,1,1,1,1,2,2,1,0,0,1,5,15,7,1,2.9,4
1,qid:85,0,1,0,2,2,1,0,0,0,0,5,11,4,1,1.3,2
0,qid:85,0,2,4,6,0,3,0,0,0,0,6,21,10,3,1.8,3
1,qid:86,1,2,0,1,3,3,0,0,0,0,5,15,5,1,1.6,2
0,qid:86,1,3,0,6,2,2,0,1,0,1,6,22,11,3,2.3,2
0,qid:87,4,0,0,6,4,0,0,0,2,0,5,21,9,2,2.2,3
1,qid:87,1,0,0,4,4,2,0,0,1,1,7,20,9,1,2.9,4
0,qid:88,3,2,3,1,0,4,0,0,1,0,5,19,6,1,2.3,4
1,qid:88,0,1,0,2,0,0,0,0,0,0,3,7,3,1,2,3
1,qid:89,0,0,1,2,2,1,0,0,0,0,5,11,4,3,2,3
0,qid:89,2,2,1,3,1,4,0,0,1,0,6,20,9,2,1.7,2
0,qid:90,1,0,1,1,2,2,0,1,0,0,6,14,7,0,1.9,4
1,qid:90,1,3,4,0,2,3,0,0,0,1,9,23,9,2,1.6,3
0,qid:91,2,2,3,3,2,1,0,1,0,1,7,22,10,4,1.8,4
1,qid:91,2,0,1,0,2,3,0,0,0,1,5,14,5,2,1.8,3
1,qid:92,0,0,0,1,1,3,0,0,1,0,2,8,4,1,1.5,2
0,qid:92,1,2,1,4,2,1,0,1,0,1,6,19,8,4,1.4,3
1,qid:93,1,0,2,1,1,1,0,0,0,2,6,15,6,3,1.3,2
0,qid:93,2,1,2,1,2,3,0,0,1,1,8,21,11,3,2.6,3
1,qid:94,1,1,1,1,2,3,0,0,0,2,5,17,5,1,1.8,3
0,qid:94,3,0,1,1,2,1,0,0,0,0,7,15,6,2,2.5,3
1,qid:95,0,1,0,1,3,5,0,0,0,0,6,16,9,2,1.6,2
0,qid:95,2,2,1,0,0,4,0,1,0,0,4,15,6,2,1.5,3
0,qid:96,0,1,1,5,2,2,0,1,1,0,6,19,10,4,2.3,2
1,qid:96,0,1,3,0,2,0,0,1,0,0,4,11,3,2,1,1
1,qid:97,1,1,1,1,0,0,0,0,0,0,3,7,2,1,1.5,2
0,qid:97,0,0,0,2,2,3,0,0,0,3,9,19,6,4,1.3,2
1,qid:98,1,0,1,2,2,5,0,0,0,1,4,16,8,3,1.5,3
0,qid:98,0,0,1,3,4,1,0,0,1,2,8,20,5,2,1,1
1,qid:99,3,0,0,1,0,1,0,0,0,0,4,9,3,1,1.3,2
0,qid:99,1,2,1,2,1,3,0,0,1,2,7,21,7,2,2.1,3
0,qid:100,2,1,1,2,2,1,0,0,0,1,8,18,7,2,1.4,2
1,qid:100,0,0,0,2,1,7,0,0,0,0,6,16,5,1,2.2,3
1,qid:101,0,0,0,0,0,2,0,0,0,0,1,3,1,1,1,1
0,qid:101,0,0,0,1,0,1,0,0,0,0,1,3,1,1,1,1
1,qid:102,1,0,1,1,2,3,0,0,1,0,6,15,6,1,2.3,4
0,qid:102,3,0,0,1,1,6,0,0,0,2,6,19,7,3,2.3,3
0,qid:103,3,0,0,0,1,10,0,0,0,0,4,18,8,6,1.3,2
1,qid:103,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1
1,qid:104,1,1,0,0,0,5,0,0,0,0,5,12,4,1,1.8,2
0,qid:104,3,0,0,3,1,3,0,0,2,2,3,17,7,3,1.7,3
1,qid:105,1,0,0,0,0,4,0,0,0,0,4,9,3,0,1.7,2
0,qid:105,0,1,0,1,1,9,0,0,0,0,8,20,8,1,2.6,4
0,qid:106,0,0,2,1,1,5,0,0,1,0,5,15,6,1,1.8,3
1,qid:106,1,0,0,0,1,3,0,0,1,0,2,8,1,1,1,1
0,qid:107,1,0,0,3,0,5,0,0,0,1,5,15,7,5,1.9,3
1,qid:107,0,0,0,0,0,2,0,0,0,1,3,6,1,1,1,1
1,qid:108,1,0,0,1,1,4,0,0,0,1,3,11,3,3,1.7,2
0,qid:108,1,0,0,0,1,5,1,0,0,1,3,12,4,3,2,2
0,qid:109,2,0,1,0,1,3,0,0,0,1,3,11,6,2,1.3,2
1,qid:109,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1
1,qid:110,2,1,0,0,0,5,0,0,0,1,3,12,4,3,1.5,2
0,qid:110,4,0,2,0,1,4,0,0,0,1,7,20,8,1,1.8,3
0,qid:111,0,0,2,0,2,2,0,0,0,4,5,17,7,0,1.6,3
1,qid:111,3,0,0,0,2,7,0,0,0,2,3,17,5,3,1.4,2
0,qid:112,1,0,0,0,1,3,0,0,0,3,1,9,2,3,1,1
1,qid:112,0,0,1,0,0,3,0,0,0,0,2,6,2,2,1,1
1,qid:113,0,0,0,0,1,1,0,0,0,1,0,3,1,1,1,1
0,qid:113,2,1,1,1,1,4,0,1,1,1,4,17,7,2,2.4,3
0,qid:114,1,0,0,2,1,5,0,0,1,1,4,15,6,3,2.5,4
1,qid:114,0,0,1,1,1,3,0,0,1,0,2,9,3,1,2,3
1,qid:115,0,0,1,2,0,3,0,0,1,1,3,11,3,1,1.7,2
0,qid:115,1,1,0,1,2,0,0,0,2,2,5,14,5,1,2.4,3
0,qid:116,2,1,0,1,3,2,0,1,0,0,5,15,5,0,1.4,2
1,qid:116,1,0,0,1,0,0,0,0,0,0,2,4,1,0,1,1
1,qid:117,0,0,0,0,1,3,0,1,1,0,2,8,5,0,2.2,2
0,qid:117,2,2,0,1,1,2,0,1,0,1,5,15,7,1,2.1,3
1,qid:118,0,0,0,0,1,2,0,0,0,2,2,7,2,1,1.5,2
0,qid:118,1,0,0,2,3,3,0,0,0,2,8,19,6,1,2.3,2
0,qid:119,2,0,0,1,1,8,0,0,0,0,9,21,8,3,1.9,3
1,qid:119,3,0,0,1,0,2,0,0,0,4,4,14,8,2,1.8,3
1,qid:120,0,0,0,0,2,2,0,0,0,0,3,7,2,0,1.5,2
0,qid:120,1,0,1,0,2,7,0,0,0,1,6,18,9,2,1.4,3
0,qid:121,1,0,0,0,0,3,0,0,0,0,3,7,1,0,1,1
1,qid:121,0,0,0,0,0,4,0,0,0,0,1,5,1,0,1,1
1,qid:122,0,1,0,0,0,1,0,0,0,0,1,3,1,0,1,1
0,qid:122,4,0,0,0,0,3,0,0,0,0,5,12,6,2,1.8,3
1,qid:123,1,0,0,0,0,1,0,0,0,0,2,4,1,1,1,1
0,qid:123,2,0,0,1,1,2,0,0,0,0,5,11,5,3,1.4,2
1,qid:124,3,1,0,2,1,3,0,0,0,0,10,20,6,1,1.7,3
0,qid:124,6,0,2,1,3,1,0,0,2,2,5,22,11,4,3.5,5
1,qid:125,4,0,0,0,2,4,0,0,0,1,7,18,6,3,2.5,3
0,qid:125,3,1,1,1,0,0,0,0,0,1,3,10,4,1,2.5,4
1,qid:126,0,0,1,0,1,5,0,0,0,0,4,11,5,2,2,2
0,qid:126,1,0,1,3,1,4,0,0,1,1,7,19,7,3,2.7,3
0,qid:127,0,0,0,2,2,6,0,0,0,2,8,20,8,3,3.3,5
1,qid:127,1,0,0,0,1,6,0,0,0,0,4,12,6,1,3,4
0,qid:128,3,0,0,0,3,5,0,0,0,2,8,21,8,2,2.1,4
1,qid:128,0,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1
1,qid:129,0,0,0,0,2,2,0,0,0,0,1,5,1,3,1,1
0,qid:129,3,0,0,1,1,3,0,0,0,2,6,16,6,1,2.2,4
0,qid:130,3,0,0,1,3,0,0,1,1,4,5,18,8,3,1.6,2
1,qid:130,2,1,0,0,1,1,0,0,0,2,3,10,3,1,1.3,2
1,qid:131,2,0,0,2,1,5,0,0,0,3,8,21,9,2,2.7,3
0,qid:131,3,0,1,1,1,4,0,0,0,1,12,23,8,1,2.5,5
0,qid:132,2,0,1,2,1,5,0,0,0,0,7,18,7,1,1.7,3
1,qid:132,2,0,0,0,0,4,0,0,0,1,4,11,5,3,1.4,2
0,qid:133,1,0,1,0,0,1,0,1,0,0,3,7,3,0,1.7,2
1,qid:133,2,1,0,1,0,1,0,0,0,1,4,10,3,0,2,3
1,qid:134,1,0,0,0,0,4,0,0,1,0,1,7,3,1,1.3,2
0,qid:134,3,0,0,2,0,3,0,1,0,1,5,15,8,2,2.3,3
0,qid:135,6,0,0,2,2,2,0,0,1,1,5,19,8,2,1.8,4
1,qid:135,4,1,0,1,1,1,0,0,2,1,3,14,5,1,2,2
0,qid:136,5,0,1,2,1,1,0,1,0,0,6,17,9,3,2.4,4
1,qid:136,4,0,0,0,1,5,0,0,1,1,3,15,6,2,1.2,2
1,qid:137,3,0,0,0,2,1,0,0,0,0,4,10,4,0,2.3,3
0,qid:137,0,0,1,3,1,4,0,0,0,1,8,18,7,3,1.7,2
1,qid:138,0,1,0,0,1,6,0,0,1,0,4,13,6,2,1.2,2
0,qid:138,5,0,0,1,3,2,0,0,3,0,6,20,9,2,1.9,3
0,qid:139,0,0,0,0,0,7,0,1,1,4,3,16,7,0,2.1,2
1,qid:139,1,0,1,1,0,4,0,0,0,1,4,12,5,1,1.6,2
1,qid:140,1,0,0,2,1,2,0,0,0,5,6,17,6,1,1,1
0,qid:140,2,0,2,1,1,1,0,1,1,1,5,16,6,1,1.8,3
1,qid:141,2,0,0,0,1,2,0,0,1,0,4,10,4,1,2,2
0,qid:141,0,1,2,2,1,5,0,0,0,2,5,19,8,3,2.8,4
0,qid:142,1,0,2,2,2,4,0,0,1,1,8,21,8,5,1.6,2
1,qid:142,3,0,0,0,1,1,0,0,0,3,3,11,5,1,1.4,2
0,qid:143,3,0,0,0,2,2,0,0,1,4,5,17,6,2,1.7,2
1,qid:143,0,1,0,0,2,0,0,0,0,1,4,8,2,1,1,1
0,qid:144,0,0,0,0,1,4,0,1,0,0,3,9,2,1,1.5,2
1,qid:144,0,1,1,2,0,3,0,0,1,3,6,18,8,3,3.4,4
0,qid:145,1,1,0,1,1,6,0,0,0,1,9,21,8,1,2.5,4
1,qid:145,3,0,0,1,0,2,0,0,0,1,5,13,4,1,1.3,2
1,qid:146,1,0,0,1,0,5,0,0,0,0,5,12,4,1,2.5,4
0,qid:146,3,0,0,0,0,7,0,0,0,1,6,17,5,1,2.4,3
1,qid:147,0,1,0,0,4,5,0,1,0,2,7,21,8,2,2.3,2
0,qid:147,1,0,0,2,3,4,0,3,0,0,7,20,10,1,2.9,4
0,qid:148,0,0,0,2,2,3,0,1,1,2,7,18,6,3,1.5,2
1,qid:148,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
1,qid:149,1,0,0,2,1,7,0,0,0,0,8,19,9,4,2.3,3
0,qid:149,2,0,0,0,0,7,0,0,1,0,9,19,8,2,1.3,2
1,qid:150,0,0,0,0,3,4,0,0,0,0,5,12,5,3,2,3
0,qid:150,0,1,0,1,2,5,0,2,1,2,5,20,8,0,2.1,4
0,qid:151,1,0,0,0,1,4,0,1,0,1,4,12,4,3,1.3,2
1,qid:151,1,1,1,2,1,2,0,0,0,1,6,16,7,4,1.7,2
0,qid:152,1,1,0,0,3,3,0,0,0,1,5,14,5,2,1.8,3
1,qid:152,3,1,0,0,1,2,0,0,0,0,4,11,3,1,1.3,2
1,qid:153,1,0,0,1,0,2,0,0,0,1,3,8,2,1,1.5,2
0,qid:153,0,0,0,0,2,2,1,0,0,0,4,9,3,2,1.7,2
0,qid:154,0,0,0,1,3,1,0,0,0,0,6,11,4,2,1.8,2
1,qid:154,0,0,0,0,2,2,0,0,0,0,2,6,3,2,1.7,2
1,qid:155,0,0,0,3,1,0,0,0,0,0,6,10,3,2,1.3,2
0,qid:155,1,0,1,4,2,1,0,0,0,0,5,14,4,1,1.3,2
1,qid:156,0,0,0,2,1,1,0,0,1,0,2,7,3,1,2,3
0,qid:156,0,0,0,1,3,3,0,0,0,1,5,13,5,1,2.8,4
1,qid:157,0,0,0,0,0,3,0,0,0,0,4,7,2,1,1,1
0,qid:157,2,1,1,0,4,5,0,1,0,0,8,22,10,2,3,5
1,qid:158,0,0,0,0,1,1,0,0,0,0,2,4,1,1,1,1
0,qid:158,0,1,0,0,4,4,0,0,0,2,3,14,7,3,1.4,3
1,qid:159,0,0,0,1,3,4,0,0,0,2,5,16,6,3,2.3,4
0,qid:159,0,1,2,1,2,3,1,0,0,0,6,16,7,4,2.1,3
1,qid:160,0,0,0,1,3,2,0,1,0,2,3,12,4,3,1,1
0,qid:160,1,1,0,0,3,5,1,1,0,1,8,21,9,5,1.4,2
0,qid:161,0,0,0,0,1,10,0,1,0,0,4,16,6,3,1.3,2
1,qid:161,0,0,2,1,1,2,0,1,0,0,2,9,4,1,1.3,2
0,qid:162,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0
1,qid:162,0,1,0,1,1,0,0,0,0,1,0,4,2,0,1.5,2
1,qid:163,0,0,1,1,2,4,0,1,1,1,0,12,6,0,1.8,2
0,qid:163,1,0,0,3,1,5,0,3,0,1,5,19,8,4,2.5,5
1,qid:164,3,0,0,1,0,5,0,0,1,0,4,14,6,2,2.5,4
0,qid:164,1,1,1,0,0,3,0,1,1,1,2,11,6,1,2,2
0,qid:165,2,0,0,2,1,3,0,0,2,1,4,15,6,2,1.5,2
1,qid:165,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,1
0,qid:166,0,0,1,2,0,2,0,0,0,1,2,9,3,0,2,3
1,qid:166,0,0,0,0,3,1,0,0,0,2,2,8,2,0,1,1
1,qid:167,0,0,0,1,0,1,0,0,0,0,1,4,2,1,1,1
0,qid:167,1,1,0,0,1,3,0,0,0,1,4,11,5,2,2,2
0,qid:168,4,0,0,1,2,3,0,0,1,2,3,16,8,1,2.4,3
1,qid:168,1,0,0,0,1,6,0,0,0,0,5,14,5,2,1.8,3
1,qid:169,2,0,0,0,1,0,0,0,0,1,4,10,3,0,1.7,2
0,qid:169,2,1,1,1,2,4,0,0,0,1,6,18,8,2,2.3,4
1,qid:170,0,1,1,0,0,3,0,0,0,0,7,12,3,1,1.3,2
0,qid:170,0,1,1,0,0,6,0,0,0,0,10,18,6,2,1.8,2
0,qid:171,2,1,0,2,3,3,0,2,1,1,7,22,9,2,2.1,3
